auction_id;item_id;seller_login;seller_role;current_highest_bid;auction_status;winner_login;winner_role
85;692;jaded-car;Seller;3227;Active;;
86;4310;judicious-dare;Seller;4548;Closed;favorite-plane;Buyer
87;246;regular-business;Seller;3150;Closed;bustling-aspect;Buyer
88;3430;sick-quarter;Seller;2098;Closed;primary-pollution;Buyer
89;5227;unrealistic-item;Seller;942;Closed;creamy-external;Buyer
90;4539;lawful-interaction;Seller;4630;Closed;stingy-cow;Buyer
91;1303;grumpy-secret;Seller;2239;Closed;fluid-play;Buyer
92;3801;intrepid-candidate;Seller;2241;Closed;aged-copy;Buyer
93;2076;harmless-agreement;Seller;1592;Closed;weird-press;Buyer
94;4509;weekly-percentage;Seller;1717;Closed;flowery-horse;Buyer
95;748;silent-access;Seller;3393;Closed;tragic-tale;Buyer
96;5020;past-touch;Seller;893;Active;;
97;1495;interesting-primary;Seller;2444;Closed;jam-packed-salary;Buyer
98;1484;sweet-pass;Seller;2828;Closed;weepy-share;Buyer
99;52;loyal-apple;Seller;3009;Closed;exalted-highlight;Buyer
100;3281;pointless-guess;Seller;3083;Closed;cheerful-employment;Buyer
101;5549;productive-advice;Seller;2451;Closed;sarcastic-touch;Buyer
102;2964;favorite-movie;Seller;5120;Active;;
103;2752;muffled-pause;Seller;4701;Active;;
104;2801;sick-quarter;Seller;3043;Closed;monthly-commercial;Buyer
105;5122;rude-ball;Seller;2133;Closed;pointed-bus;Buyer
106;1148;itchy-angle;Seller;2692;Active;;
107;4855;judicious-turn;Seller;1251;Closed;fruitful-employer;Buyer
108;4728;lawful-interaction;Seller;1980;Closed;wry-vehicle;Buyer
109;1857;rash-board;Seller;1412;Closed;adored-perspective;Buyer
110;4335;delicious-criticism;Seller;2914;Active;;
111;5123;itchy-angle;Seller;2406;Active;;
112;865;fine-soil;Seller;3769;Closed;aromatic-force;Buyer
113;508;remorseful-buddy;Seller;3722;Closed;aware-attack;Buyer
114;1139;robust-charity;Seller;2426;Closed;roasted-common;Buyer
115;3395;false-news;Seller;5718;Closed;wretched-report;Buyer
116;4911;jolly-human;Seller;2501;Closed;forceful-city;Buyer
117;1219;spotless-charge;Seller;3311;Closed;metallic-part;Buyer
118;4341;cool-formal;Seller;1880;Active;;
119;3142;spotless-charge;Seller;6505;Closed;impossible-police;Buyer
120;2859;impossible-match;Seller;3023;Closed;fake-river;Buyer
121;343;big-hearted-king;Seller;696;Active;;
122;24;common-private;Seller;947;Closed;reliable-juice;Buyer
123;282;focused-song;Seller;2581;Active;;
124;3739;ripe-patience;Seller;3671;Active;;
125;113;aromatic-pound;Seller;1774;Active;;
126;1630;ultimate-coach;Seller;2546;Closed;elastic-meat;Buyer
127;1165;judicious-dare;Seller;2704;Closed;present-vehicle;Buyer
128;5156;yummy-if;Seller;2132;Closed;wry-vehicle;Buyer
129;974;judicious-turn;Seller;2056;Closed;everlasting-classroom;Buyer
130;1406;affectionate-passenger;Seller;3517;Closed;profuse-object;Buyer
131;264;lighthearted-remote;Seller;3031;Active;;
132;1798;periodic-summer;Seller;1622;Closed;sympathetic-scale;Buyer
133;2957;big-hearted-king;Seller;1929;Active;;
134;3847;bare-round;Seller;4785;Closed;monthly-article;Buyer
135;5440;mean-politics;Seller;2164;Closed;naughty-still;Buyer
136;129;costly-scene;Seller;4471;Closed;flaky-anybody;Buyer
137;4763;flawless-soup;Seller;2353;Closed;gaseous-sense;Buyer
138;1978;jolly-human;Seller;4429;Closed;vivacious-piano;Buyer
139;3580;phony-idea;Seller;3310;Active;;
140;1515;wicked-drama;Seller;2399;Closed;blaring-parking;Buyer
141;4141;incompatible-monitor;Seller;3203;Closed;occasional-lift;Buyer
142;4649;fine-suck;Seller;1201;Closed;aching-office;Buyer
143;2567;snappy-wine;Seller;1137;Closed;unequaled-release;Buyer
144;1726;weighty-shame;Seller;4303;Closed;ill-fated-sort;Buyer
145;4229;affectionate-passenger;Seller;2070;Closed;large-maintenance;Buyer
146;2663;linear-candle;Seller;3841;Closed;modest-bottom;Buyer
147;379;striking-wedding;Seller;504;Closed;rotating-gap;Buyer
148;510;canine-coat;Seller;844;Closed;first-tonight;Buyer
149;3495;angelic-thought;Seller;3166;Closed;lucky-chocolate;Buyer
150;2227;light-good;Seller;4142;Closed;unfortunate-step;Buyer
151;5753;leafy-distribution;Seller;2632;Closed;early-highlight;Buyer
152;716;serene-monitor;Seller;1879;Closed;elastic-meat;Buyer
153;1076;common-private;Seller;4682;Closed;possible-future;Buyer
154;154;unnatural-book;Seller;3386;Closed;optimistic-breakfast;Buyer
155;1559;mindless-button;Seller;5126;Closed;roasted-common;Buyer
156;2575;dopey-nobody;Seller;2462;Active;;
157;2601;itchy-angle;Seller;1273;Closed;generous-human;Buyer
158;3533;mysterious-court;Seller;1746;Closed;meager-math;Buyer
159;4776;incompatible-monitor;Seller;2165;Closed;low-dealer;Buyer
160;3406;common-private;Seller;3734;Closed;sore-drawing;Buyer
161;4389;every-discipline;Seller;5027;Closed;jam-packed-character;Buyer
162;327;tempting-education;Seller;5156;Closed;esteemed-teacher;Buyer
163;4097;frivolous-nation;Seller;5236;Closed;previous-potato;Buyer
164;325;light-good;Seller;4242;Closed;misty-cable;Buyer
165;5603;milky-penalty;Seller;2095;Closed;sorrowful-comfortable;Buyer
166;185;heavenly-deposit;Seller;4149;Closed;energetic-whole;Buyer
167;3161;questionable-sympathy;Seller;1238;Closed;poised-debt;Buyer
168;3367;striking-wedding;Seller;2301;Closed;dry-garbage;Buyer
169;1761;ultimate-coach;Seller;2801;Closed;gregarious-balance;Buyer
170;5846;costly-tackle;Seller;1960;Active;;
171;531;leafy-distribution;Seller;4358;Closed;popular-pair;Buyer
172;5763;bad-permit;Seller;3087;Active;;
173;4027;unfit-fault;Seller;4440;Active;;
174;2791;upset-permission;Seller;2280;Closed;substantial-dish;Buyer
175;4713;aromatic-pound;Seller;2287;Closed;married-unique;Buyer
176;2125;impressionable-bedroom;Seller;3187;Closed;equatorial-welcome;Buyer
177;96;modest-tale;Seller;4438;Closed;loyal-comment;Buyer
178;3761;medium-class;Seller;1808;Closed;round-script;Buyer
179;3069;absolute-craft;Seller;1564;Closed;any-beer;Buyer
180;3920;cool-formal;Seller;1612;Closed;tangible-alarm;Buyer
181;4615;necessary-national;Seller;3693;Active;;
182;1775;ripe-patience;Seller;1195;Closed;energetic-whole;Buyer
183;145;similar-ice;Seller;1121;Closed;firm-drama;Buyer
184;3085;forceful-coach;Seller;1933;Closed;worthy-arm;Buyer
185;2214;everlasting-historian;Seller;4838;Closed;spherical-spray;Buyer
186;2658;energetic-shot;Seller;2808;Closed;composed-stress;Buyer
187;4232;breakable-lesson;Seller;4146;Closed;acclaimed-resolution;Buyer
188;2827;snappy-wine;Seller;503;Closed;cluttered-service;Buyer
189;2006;mean-politics;Seller;2378;Closed;optimistic-breakfast;Buyer
190;4721;constant-university;Seller;1429;Closed;shy-error;Buyer
191;4026;fluffy-pizza;Seller;1406;Active;;
192;3436;mysterious-court;Seller;2037;Closed;straight-trick;Buyer
193;1311;interesting-primary;Seller;2542;Closed;early-highlight;Buyer
194;1230;lawful-interaction;Seller;3989;Closed;jumpy-pizza;Buyer
195;5653;fine-soil;Seller;5540;Active;;
196;5765;hard-profit;Seller;1920;Closed;fuzzy-iron;Buyer
197;1977;common-private;Seller;1660;Closed;uniform-excuse;Buyer
198;10;phony-idea;Seller;2743;Closed;thorough-rough;Buyer
199;740;periodic-summer;Seller;3349;Closed;tall-ticket;Buyer
200;2744;spotless-charge;Seller;3325;Closed;lucky-chocolate;Buyer
201;312;complex-dog;Seller;1941;Closed;untrue-assignment;Buyer
202;5697;weighty-shame;Seller;2983;Closed;fake-river;Buyer
203;4617;focused-song;Seller;4571;Closed;impressionable-period;Buyer
204;839;tempting-education;Seller;4308;Closed;abandoned-experience;Buyer
205;830;lighthearted-remote;Seller;2634;Closed;svelte-male;Buyer
206;2456;meager-shopping;Seller;2848;Closed;sizzling-harm;Buyer
207;2855;impressionable-bedroom;Seller;2756;Closed;blissful-examination;Buyer
208;114;fine-soil;Seller;2638;Closed;rusty-test;Buyer
209;4719;mean-politics;Seller;3140;Closed;careful-page;Buyer
210;2974;mysterious-court;Seller;4928;Closed;unwelcome-advertising;Buyer
211;3169;spotless-charge;Seller;3957;Closed;corrupt-satisfaction;Buyer
212;2289;easy-dark;Seller;2328;Active;;
213;2380;that-vehicle;Seller;815;Closed;minor-press;Buyer
214;1042;frivolous-nation;Seller;3905;Closed;staid-performance;Buyer
215;5855;abandoned-negotiation;Seller;2340;Closed;immediate-silly;Buyer
216;1669;affectionate-passenger;Seller;3314;Closed;foolish-disease;Buyer
217;4936;threadbare-character;Seller;2881;Closed;idiotic-oil;Buyer
218;795;complex-dog;Seller;2887;Closed;bewitched-use;Buyer
219;5526;silent-access;Seller;2651;Closed;self-reliant-counter;Buyer
220;1643;gracious-nation;Seller;2320;Closed;rotating-vehicle;Buyer
221;837;delicious-criticism;Seller;3891;Closed;unusual-single;Buyer
222;1413;that-vehicle;Seller;3667;Closed;equatorial-welcome;Buyer
223;3911;loyal-apple;Seller;4219;Closed;grave-series;Buyer
224;3891;this-priority;Seller;3706;Closed;wide-box;Buyer
225;2273;itchy-angle;Seller;1272;Closed;grown-priest;Buyer
226;5952;cool-formal;Seller;3322;Closed;reflecting-basis;Buyer
227;2306;judicious-dare;Seller;1838;Closed;utter-brick;Buyer
228;397;anguished-order;Seller;2935;Closed;jagged-rice;Buyer
229;2048;jolly-human;Seller;2891;Active;;
230;4922;whole-initial;Seller;3270;Active;;
231;4183;mysterious-court;Seller;3218;Active;;
232;50;remorseful-buddy;Seller;3195;Closed;biodegradable-dot;Buyer
233;4176;subdued-air;Seller;2405;Active;;
234;2929;common-private;Seller;3363;Closed;good-inflation;Buyer
235;2338;starry-passion;Seller;2511;Active;;
236;5836;expensive-funeral;Seller;2589;Closed;impractical-phrase;Buyer
237;1121;big-hearted-king;Seller;4164;Closed;insecure-soup;Buyer
238;1692;robust-charity;Seller;6257;Closed;dizzy-data;Buyer
239;4211;harmless-agreement;Seller;2250;Closed;sniveling-drawer;Buyer
240;5964;cool-formal;Seller;2952;Active;;
241;429;wicked-drama;Seller;3015;Closed;gregarious-exit;Buyer
242;4618;grimy-catch;Seller;3593;Closed;lovable-management;Buyer
243;1054;past-touch;Seller;5626;Active;;
244;3563;anguished-order;Seller;86;Active;;
245;5270;upset-temperature;Seller;2720;Active;;
246;5283;left-ad;Seller;1612;Closed;unwieldy-afternoon;Buyer
247;1615;yearly-society;Seller;816;Closed;aching-confidence;Buyer
248;2656;yummy-if;Seller;2505;Closed;hot-restaurant;Buyer
249;646;itchy-angle;Seller;4061;Closed;corny-television;Buyer
250;1085;weighty-shame;Seller;5186;Closed;puzzling-split;Buyer
251;3311;private-review;Seller;3924;Closed;sparse-judgment;Buyer
252;573;medium-class;Seller;2328;Active;;
253;4366;striking-wedding;Seller;3864;Active;;
254;3806;costly-scene;Seller;3060;Closed;blond-laugh;Buyer
255;176;this-priority;Seller;1609;Closed;jolly-carry;Buyer
256;4121;gracious-nation;Seller;1927;Closed;somber-refrigerator;Buyer
257;5907;rude-ball;Seller;1306;Closed;meager-apartment;Buyer
258;691;disguised-wonder;Seller;3575;Closed;exhausted-possible;Buyer
259;1715;angelic-thought;Seller;3151;Closed;sparkling-half;Buyer
260;4318;serene-monitor;Seller;3016;Active;;
261;4381;burdensome-special;Seller;3138;Closed;angry-phone;Buyer
262;4883;common-private;Seller;3050;Closed;starry-mobile;Buyer
263;2436;threadbare-character;Seller;1686;Closed;mild-grandfather;Buyer
264;1181;interesting-primary;Seller;2276;Closed;bustling-blow;Buyer
265;5609;ripe-patience;Seller;4019;Closed;amused-kill;Buyer
266;157;kooky-mail;Seller;2134;Closed;pale-thing;Buyer
267;4514;wicked-drama;Seller;3351;Closed;doting-unit;Buyer
268;3706;flawless-soup;Seller;5747;Closed;blind-function;Buyer
269;4378;spectacular-diamond;Seller;1850;Closed;odd-store;Buyer
270;4661;anguished-order;Seller;2197;Closed;previous-context;Buyer
271;5980;false-news;Seller;2274;Closed;aged-copy;Buyer
272;5372;aromatic-pound;Seller;1426;Closed;unique-page;Buyer
273;4062;paltry-surgery;Seller;3153;Closed;profuse-object;Buyer
274;4185;this-priority;Seller;3006;Closed;aromatic-formal;Buyer
275;4652;threadbare-character;Seller;321;Active;;
276;4560;mindless-button;Seller;5060;Closed;light-lip;Buyer
277;2534;light-good;Seller;2161;Closed;flowery-return;Buyer
278;3695;impressionable-bedroom;Seller;2817;Closed;forceful-city;Buyer
279;1902;handsome-city;Seller;792;Active;;
280;4342;icky-hearing;Seller;1707;Closed;back-natural;Buyer
281;3766;favorite-movie;Seller;2370;Closed;imaginary-leader;Buyer
282;5779;multicolored-performance;Seller;2113;Closed;repulsive-gene;Buyer
283;4985;ripe-patience;Seller;4320;Active;;
284;1921;that-vehicle;Seller;5495;Closed;fickle-lack;Buyer
285;5413;striped-job;Seller;3727;Closed;authorized-partner;Buyer
286;4752;meager-shopping;Seller;3119;Closed;babyish-machine;Buyer
287;2487;productive-advice;Seller;1941;Closed;substantial-power;Buyer
288;1661;unfit-fault;Seller;2341;Closed;pointed-bus;Buyer
289;4372;periodic-summer;Seller;865;Closed;upset-black;Buyer
290;3199;mean-politics;Seller;3870;Active;;
291;5691;upset-permission;Seller;4304;Closed;failing-poet;Buyer
292;1086;partial-telephone;Seller;1541;Closed;definite-introduction;Buyer
293;3962;lighthearted-remote;Seller;1747;Closed;hateful-heat;Buyer
294;1764;ruddy-tie;Seller;3895;Closed;sleepy-incident;Buyer
295;3237;impressionable-bedroom;Seller;1396;Closed;attractive-kid;Buyer
296;4962;monumental-feel;Seller;2452;Closed;remarkable-housing;Buyer
297;921;judicious-dare;Seller;3284;Closed;nasty-juice;Buyer
298;1969;regular-business;Seller;2259;Active;;
299;2371;kindhearted-young;Seller;5002;Closed;dramatic-serve;Buyer
300;3769;regal-a;Seller;2871;Closed;lawful-money;Buyer
301;197;feminine-writing;Seller;3897;Closed;burdensome-fortune;Buyer
302;436;frivolous-nation;Seller;7331;Closed;sympathetic-letter;Buyer
303;3470;weekly-percentage;Seller;3498;Closed;narrow-honey;Buyer
304;3790;medium-class;Seller;3912;Closed;rotating-gap;Buyer
305;4196;this-priority;Seller;2028;Closed;rusty-test;Buyer
306;1539;steel-mail;Seller;3914;Closed;lawful-money;Buyer
307;1578;robust-charity;Seller;3741;Closed;sympathetic-western;Buyer
308;738;melodic-chocolate;Seller;3847;Closed;babyish-mud;Buyer
309;4971;linear-candle;Seller;1948;Closed;late-income;Buyer
310;1395;cuddly-muscle;Seller;3569;Closed;glorious-loss;Buyer
311;5788;forceful-coach;Seller;4823;Closed;limp-dress;Buyer
312;2068;fair-buddy;Seller;2924;Closed;rusty-test;Buyer
313;5148;thorny-resolution;Seller;1441;Active;;
314;1627;necessary-national;Seller;1354;Closed;shocking-till;Buyer
315;1721;mysterious-court;Seller;529;Active;;
316;4010;impressive-forever;Seller;2931;Closed;elementary-intention;Buyer
317;1725;live-hat;Seller;2428;Closed;worthwhile-region;Buyer
318;5507;silent-access;Seller;4026;Closed;grubby-promotion;Buyer
319;4356;fuzzy-note;Seller;2572;Closed;imaginary-money;Buyer
320;5102;studious-bridge;Seller;4122;Closed;moral-lay;Buyer
321;752;striking-wedding;Seller;1165;Closed;deep-stay;Buyer
322;4703;questionable-sympathy;Seller;730;Closed;straight-idea;Buyer
323;1454;angelic-thought;Seller;2991;Closed;blaring-parking;Buyer
324;1908;harmless-agreement;Seller;2039;Closed;ruddy-local;Buyer
325;106;every-discipline;Seller;3638;Closed;strange-responsibility;Buyer
326;1694;thorny-resolution;Seller;1081;Closed;flaky-road;Buyer
327;1861;snappy-wine;Seller;2864;Closed;demanding-style;Buyer
328;5436;jolly-human;Seller;2335;Closed;insecure-window;Buyer
329;3217;this-priority;Seller;2023;Closed;petty-possession;Buyer
330;4230;flawless-soup;Seller;4409;Closed;corrupt-satisfaction;Buyer
331;5310;big-hearted-king;Seller;3325;Closed;sandy-opinion;Buyer
332;5154;heavenly-deposit;Seller;3029;Closed;chief-edge;Buyer
333;1314;ultimate-coach;Seller;4759;Active;;
334;1594;interesting-primary;Seller;3477;Closed;stingy-notice;Buyer
335;2917;steel-clue;Seller;2754;Closed;youthful-suggestion;Buyer
336;1425;impossible-match;Seller;629;Active;;
337;1134;jaded-car;Seller;1985;Active;;
338;2357;complex-dog;Seller;1959;Closed;first-tonight;Buyer
339;4385;flawless-soup;Seller;663;Active;;
340;2279;abandoned-negotiation;Seller;3776;Closed;demanding-conclusion;Buyer
341;1023;ruddy-tie;Seller;3801;Closed;jumpy-pizza;Buyer
342;5253;hard-profit;Seller;1934;Closed;fragrant-border;Buyer
343;2978;unrealistic-item;Seller;2178;Closed;tan-anybody;Buyer
344;2612;linear-candle;Seller;3709;Closed;motionless-north;Buyer
345;4878;sweet-pass;Seller;1789;Active;;
346;119;sick-quarter;Seller;3520;Closed;jam-packed-character;Buyer
347;4458;paltry-surgery;Seller;983;Closed;impolite-complaint;Buyer
348;2862;cuddly-muscle;Seller;1939;Closed;tremendous-budget;Buyer
349;1894;steel-clue;Seller;1988;Closed;svelte-male;Buyer
350;4394;muffled-pause;Seller;3479;Closed;silent-piece;Buyer
351;1345;aromatic-pound;Seller;2597;Closed;welcome-carry;Buyer
352;2738;kooky-mail;Seller;1585;Closed;nasty-cookie;Buyer
353;35;spectacular-diamond;Seller;3186;Closed;direct-a;Buyer
354;4693;loathsome-soft;Seller;2092;Closed;hopeful-inside;Buyer
355;3708;bare-round;Seller;1744;Active;;
356;5822;whole-initial;Seller;3128;Closed;gregarious-hire;Buyer
357;4611;handsome-city;Seller;3151;Closed;repentant-spirit;Buyer
358;2908;angelic-thought;Seller;2301;Closed;energetic-whole;Buyer
359;2700;private-review;Seller;1146;Closed;sparkling-half;Buyer
360;1582;deadly-father;Seller;3078;Closed;bulky-partner;Buyer
361;4520;melodic-chocolate;Seller;2866;Closed;memorable-juice;Buyer
362;442;questionable-sympathy;Seller;1356;Closed;spicy-spite;Buyer
363;1005;private-review;Seller;716;Closed;fuzzy-jacket;Buyer
364;4078;trustworthy-silly;Seller;2101;Active;;
365;4107;steel-clue;Seller;2455;Closed;popular-pair;Buyer
366;5336;abandoned-negotiation;Seller;1663;Closed;imaginary-money;Buyer
367;5432;frivolous-nation;Seller;474;Closed;calm-cheek;Buyer
368;867;gleeful-customer;Seller;5204;Closed;unique-page;Buyer
369;5539;superficial-extreme;Seller;860;Closed;bubbly-convert;Buyer
370;3245;costly-scene;Seller;610;Closed;barren-anybody;Buyer
371;2541;steel-clue;Seller;3233;Closed;biodegradable-tree;Buyer
372;2927;intrepid-candidate;Seller;3034;Closed;helpless-hello;Buyer
373;4081;superb-pull;Seller;4774;Closed;Spanish-tooth;Buyer
374;1001;canine-coat;Seller;235;Active;;
375;5439;punctual-swimming;Seller;1408;Closed;forsaken-eat;Buyer
376;5936;delicious-criticism;Seller;2210;Closed;demanding-style;Buyer
377;3753;constant-university;Seller;875;Closed;failing-stretch;Buyer
378;5760;multicolored-performance;Seller;1410;Closed;doting-unit;Buyer
379;3002;kindhearted-young;Seller;2472;Closed;fluid-play;Buyer
380;1261;flawless-soup;Seller;2949;Closed;orderly-expression;Buyer
381;5430;envious-initiative;Seller;876;Active;;
382;4880;hard-to-find-boyfriend;Seller;3873;Closed;celebrated-method;Buyer
383;1474;unfit-fault;Seller;3381;Closed;decent-country;Buyer
384;955;jaded-car;Seller;2700;Active;;
385;2743;upset-temperature;Seller;2631;Closed;lovable-management;Buyer
386;5167;expensive-funeral;Seller;2812;Closed;numb-tackle;Buyer
387;4782;fine-suck;Seller;1072;Active;;
388;4940;disguised-wonder;Seller;3504;Closed;repulsive-gene;Buyer
389;5612;light-lie;Seller;384;Closed;official-depression;Buyer
390;551;considerate-conference;Seller;3966;Closed;familiar-restaurant;Buyer
391;1796;gracious-nation;Seller;724;Closed;svelte-male;Buyer
392;3137;productive-advice;Seller;2480;Closed;glamorous-enthusiasm;Buyer
393;2622;yearly-society;Seller;2513;Active;;
394;5324;left-ad;Seller;1661;Closed;untidy-excuse;Buyer
395;2466;aromatic-pound;Seller;1036;Active;;
396;3703;itchy-angle;Seller;8425;Closed;blond-laugh;Buyer
397;712;embellished-repeat;Seller;1849;Closed;dependent-pizza;Buyer
398;4677;embellished-repeat;Seller;6448;Closed;unwieldy-damage;Buyer
399;3592;weighty-shame;Seller;2867;Closed;strict-student;Buyer
400;2572;meager-shopping;Seller;3165;Active;;
401;4683;costly-scene;Seller;3017;Closed;energetic-whole;Buyer
402;4547;bare-round;Seller;1060;Closed;late-income;Buyer
403;3268;aromatic-pound;Seller;2155;Closed;extra-large-feature;Buyer
404;1897;striking-wedding;Seller;3672;Closed;enchanting-remove;Buyer
405;1369;ripe-patience;Seller;2766;Closed;informal-champion;Buyer
406;5317;whole-initial;Seller;799;Closed;showy-condition;Buyer
407;5445;costly-tackle;Seller;3039;Closed;upbeat-highway;Buyer
408;1701;cool-formal;Seller;2779;Closed;puzzled-movie;Buyer
409;1490;grimy-catch;Seller;2362;Active;;
410;3339;mean-politics;Seller;2259;Closed;funny-area;Buyer
411;1364;monumental-feel;Seller;4371;Closed;muffled-psychology;Buyer
412;222;jolly-human;Seller;3756;Closed;straight-idea;Buyer
413;2666;affectionate-passenger;Seller;3349;Closed;barren-anybody;Buyer
414;3604;superb-pull;Seller;6839;Closed;milky-remote;Buyer
415;2174;regular-business;Seller;1274;Closed;extraneous-purpose;Buyer
416;2179;regular-business;Seller;4330;Closed;petty-possession;Buyer
417;1136;disguised-wonder;Seller;1887;Active;;
418;4444;burdensome-special;Seller;3521;Closed;thorough-death;Buyer
419;3080;false-news;Seller;2682;Closed;subtle-general;Buyer
420;2201;anguished-order;Seller;4716;Closed;thoughtful-combination;Buyer
421;3719;every-discipline;Seller;3001;Closed;inferior-dream;Buyer
422;5092;grim-reach;Seller;5052;Closed;usable-base;Buyer
423;2281;light-good;Seller;5406;Closed;bustling-beach;Buyer
424;4606;cool-formal;Seller;1953;Closed;close-comfort;Buyer
